IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,fossil_bio,Substance,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Non-Annex_I,Western_Africa,NGA,Nigeria,2.D,Non-Energy Products from Fuels and Solvent Use,fossil,CO2,2003,72.58289822,72.20095734,74.79025547,75.9972845,73.71055752,73.60419228,72.59960736,72.21441016,74.80059163,75.99911306,73.70360565,73.58857963
Non-Annex_I,Western_Africa,NGA,Nigeria,1.B.2,Oil and Natural Gas,fossil,CO2,2003,4060.335457,4060.335457,4060.335457,4060.335457,4060.335457,4060.335457,4060.335457,4060.335457,4060.335457,4060.335457,4060.335457,4060.335457
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.1.a,Main Activity Electricity and Heat Production,fossil,CO2,2003,544.087405,515.872923,557.1261214,509.4125059,539.6461355,551.8467578,571.1551269,568.4050542,511.062979,506.8017609,507.5348273,547.4547902
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.4,Residential and other sectors,fossil,CO2,2003,301.496893,301.496893,301.496893,301.496893,301.496893,301.496893,301.496893,301.496893,301.496893,301.496893,301.496893,301.496893
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.3.d,Water-borne Navigation,fossil,CO2,2003,7.486570223,7.486570223,7.486570223,7.486570223,7.486570223,7.486570223,7.486570223,7.486570223,7.486570223,7.486570223,7.486570223,7.486570223
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.1.bc,Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries,fossil,CO2,2003,571.1575878,554.4667316,549.2227121,571.457897,566.8732071,566.1014751,571.1575878,554.4667316,549.2227121,571.457897,566.8732071,566.1014751
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.5,Non-Specified,fossil,CO2,2003,51.1748248,51.1748248,51.1748248,51.1748248,51.1748248,51.1748248,51.1748248,51.1748248,51.1748248,51.1748248,51.1748248,51.1748248
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.4,Residential and other sectors,bio,CO2,2004,25125.8703,25125.8703,25125.8703,25125.8703,25125.8703,25125.8703,25125.8703,25125.8703,25125.8703,25125.8703,25125.8703,25125.8703
Non-Annex_I,Western_Africa,NGA,Nigeria,3.C.1,Emissions from biomass burning,bio,CO2,2004,423.3053731,595.851053,1682.941935,2320.611994,1529.715383,728.2527101,422.1201234,594.3331688,1680.993559,2317.822569,1527.724381,728.502939
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.2,Manufacturing Industries and Construction,bio,CO2,2004,1018.256223,993.4309631,1034.27971,1057.368618,1050.044677,1057.843118,1018.117762,993.2305995,1034.127889,1057.332098,1050.084227,1057.930516
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.5,Non-Specified,fossil,CO2,2004,61.14735476,61.14735476,61.14735476,61.14735476,61.14735476,61.14735476,61.14735476,61.14735476,61.14735476,61.14735476,61.14735476,61.14735476
Non-Annex_I,Western_Africa,NGA,Nigeria,1.B.1,Solid Fuels,fossil,CO2,2004,0.003459454,0.003459454,0.003459454,0.003459454,0.003459454,0.003459454,0.003459454,0.003459454,0.003459454,0.003459454,0.003459454,0.003459454
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.2,Manufacturing Industries and Construction,fossil,CO2,2004,491.1840151,479.2061752,498.9130784,510.0556175,506.5260141,510.2898415,491.1291471,479.1267774,498.8529167,510.0411458,506.5416866,510.3244745
Non-Annex_I,Western_Africa,NGA,Nigeria,2.B,Chemical Industry,fossil,CO2,2004,115.2967245,112.4822336,117.1106522,119.7315304,118.9065852,119.7922741,115.2967245,112.4822336,117.1106522,119.7315304,118.9065852,119.7922741
Non-Annex_I,Western_Africa,NGA,Nigeria,2.C,Metal Industry,fossil,CO2,2004,0.182079383,0.177634671,0.184943982,0.189082936,0.187780163,0.189178864,0.182079383,0.177634671,0.184943982,0.189082936,0.187780163,0.189178864
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.3.d,Water-borne Navigation,fossil,CO2,2004,8.021325239,8.021325239,8.021325239,8.021325239,8.021325239,8.021325239,8.021325239,8.021325239,8.021325239,8.021325239,8.021325239,8.021325239
Non-Annex_I,Western_Africa,NGA,Nigeria,3.C.2,Liming,fossil,CO2,2004,0.535038179,0.753193608,2.129007754,2.935651488,1.93506844,0.922040428,0.535038179,0.753193608,2.129007754,2.935651488,1.93506844,0.922040428
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.3.c,Railways,fossil,CO2,2004,7.991714658,8.102876303,8.286712239,8.624767339,8.525208592,8.20093587,7.991714658,8.102876303,8.286712239,8.624767339,8.525208592,8.20093587
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.1.a,Main Activity Electricity and Heat Production,fossil,CO2,2004,699.0170998,646.0165699,638.5667344,629.0653303,645.3744415,679.233397,719.6932653,731.7278384,702.6658349,690.723778,672.6841706,707.9607209
Non-Annex_I,Western_Africa,NGA,Nigeria,2.A.3,Glass Production,fossil,CO2,2004,0.557543218,0.543940699,0.566305874,0.578958454,0.574949827,0.579218877,0.557468887,0.543846795,0.566238458,0.578940819,0.574971677,0.579266416
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.1.bc,Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries,fossil,CO2,2004,619.4150833,601.2071372,595.4864706,619.7426887,614.7412804,613.899403,619.4150833,601.2071372,595.4864706,619.7426887,614.7412804,613.899403
Non-Annex_I,Western_Africa,NGA,Nigeria,2.A.1,Cement production,fossil,CO2,2004,78.62662811,76.71439152,79.86573259,81.64096853,81.071077,81.67080054,78.60067316,76.6749774,79.83538571,81.63388476,81.07844412,81.68703655
Non-Annex_I,Western_Africa,NGA,Nigeria,3.C.3,Urea application,fossil,CO2,2004,3.788643558,5.333394542,15.07528099,20.78705121,13.70204933,6.528740021,3.788370887,5.333064184,15.07492716,20.78653754,13.70165393,6.528832894
Non-Annex_I,Western_Africa,NGA,Nigeria,2.A.4,Other Process Uses of Carbonates,fossil,CO2,2004,13.00377032,12.68633724,13.20835461,13.50395102,13.41090937,13.51080201,13.00377032,12.68633724,13.20835461,13.50395102,13.41090937,13.51080201
Non-Annex_I,Western_Africa,NGA,Nigeria,1.B.2,Oil and Natural Gas,fossil,CO2,2004,3742.885612,3742.885612,3742.885612,3742.885612,3742.885612,3742.885612,3742.885612,3742.885612,3742.885612,3742.885612,3742.885612,3742.885612
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.4,Residential and other sectors,fossil,CO2,2004,183.9016901,183.9016901,183.9016901,183.9016901,183.9016901,183.9016901,183.9016901,183.9016901,183.9016901,183.9016901,183.9016901,183.9016901
